"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\App.jsx", "JavaScript JSX", 0, 124, 0, 0, 1, 7, 132
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\category.api.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\categoryIndex.js", "JavaScript", 11, 0, 0, 0, 3, 5, 19
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\foodApi.js", "JavaScript", 24, 0, 0, 0, 0, 4, 28
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\order.api.js", "JavaScript", 13, 0, 0, 0, 0, 4, 17
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\raking.api.js", "JavaScript", 10, 0, 0, 0, 0, 2, 12
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\search.api.js", "JavaScript", 6, 0, 0, 0, 0, 2, 8
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\tableApi.js", "JavaScript", 6, 0, 0, 0, 2, 6, 14
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\user.api.js", "JavaScript", 5, 0, 0, 0, 0, 2, 7
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\AddFood\AddFoodForm.jsx", "JavaScript JSX", 0, 202, 0, 0, 9, 17, 228
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\EditFoodForm\EditFoodForm.jsx", "JavaScript JSX", 0, 165, 0, 0, 13, 15, 193
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\FoodItem\FoodItem.jsx", "JavaScript JSX", 0, 94, 0, 0, 12, 5, 111
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Food\CustomerReview.jsx", "JavaScript JSX", 0, 159, 0, 0, 7, 8, 174
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Food\CustomerReview.module.css", "PostCSS", 0, 0, 114, 0, 5, 28, 147
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Food\Food.jsx", "JavaScript JSX", 0, 84, 0, 0, 137, 23, 244
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Food\Food.module.css", "PostCSS", 0, 0, 50, 0, 1, 11, 62
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Food\TaiCocauFood.jsx", "JavaScript JSX", 0, 93, 0, 0, 117, 20, 230
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Footer\Footer.jsx", "JavaScript JSX", 0, 65, 0, 0, 0, 3, 68
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Footer\Footer.module.css", "PostCSS", 0, 0, 94, 0, 3, 27, 124
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Footer\FooterCopyright.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 5, 84
"d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Footer\FooterCopyright.module.css", "PostCSS", 0, 0, 52, 0, 2, 9, 63
